x,y,z,count
438.683,-111.608,-66.4976,90
443.629,-144.945,389.532,68
-148.274,-489.884,-35.0764,105
228.127,229.344,-117.864,98
-105.339,110.829,377.592,98
-562.839,-166.618,152.028,90
-517.026,111.664,-304.739,95
-270.266,221.554,28.4134,86
106.961,106.748,4.50136,85
-354.964,240.035,120.193,87
421.724,-75.7317,342.758,64
-182.835,-214.293,-398.254,109
52.0268,-457.591,217.49,75
207.12,454.939,43.0759,112
-258.964,-80.7633,302.422,106
260.98,248.311,-415.453,105
73.1032,240.621,-349.982,110
-149.621,165.771,491.451,104
-80.8942,-128.777,324.933,84
-443.061,-123.94,106.723,90
397.577,-77.4673,-210.761,98
-71.7791,275.016,-248.856,95
-234.155,-348.83,-452.793,89
579.996,181.623,103.935,66
-190.383,-169.435,-373.417,89
355.234,-413.956,-120.041,76
-340.547,329.161,229.18,94
198.662,-409.812,220.3,96
-324.176,-16.1445,-147.735,76
111.418,261.894,-104.173,92
-83.1767,502.501,-316.042,61
188.243,232.563,-96.119,83
453.484,-196.643,293.144,75
-378.814,203.727,333.57,94
85.7015,-481.333,-200.467,81
-159.451,250.701,-367.94,88
-136.467,114.264,347.823,85
494.389,-155.855,84.9282,81
-50.3285,-510.008,-115.127,75
-373.376,-6.56988,52.2246,87
10.8987,137.436,-555.58,173
-36.4155,101.348,11.2546,100
455.824,114.587,-45.3033,76
371.236,262.191,-349.872,131
409.368,-18.0749,-40.2935,85
133.718,131.777,-491.572,90
275.943,-310.929,-262.988,112
-144.34,-7.64432,-73.4807,108
212.008,-384.044,-176.785,96
-220.307,-449.408,-143.879,96
-76.7329,-155.115,-436.091,119
364.249,196.111,195.637,89
-256.128,148.339,80.5429,75
-177.165,352.694,-58.6382,86
-150.671,-515.269,246.815,76
74.6504,-318.633,-213.232,85
271.767,201.826,478.341,97
-250.349,49.1247,-461.287,82
213.75,-233.892,-281.002,100
-73.7302,-25.4676,12.6589,106
-10.6492,-199.731,-296.864,87
-196.144,76.9925,21.2136,82
-244.78,-17.5462,-395.85,93
-180.325,-498.553,190.601,95
-450.606,307.95,238.52,94
-12.2609,-86.4484,19.9162,100
486.852,275.769,253.958,64
-1.89391,99.914,347.532,96
312.875,13.9637,-121.811,87
-251.469,-250.252,-223.111,109
-142.761,-177.221,79.2478,83
-404.476,-319.159,183.939,93
-211.532,115.347,-521.151,89
191.252,-158.708,567.884,52
159.014,-510.638,-186.126,86
-90.2714,-390.15,-231.403,82
-47.9981,228.068,-399.531,108
464.618,-288.958,169.067,95
455.616,-266.903,235.441,97
-360.806,-108.776,-262.085,86
-185.39,-224.138,-148.262,101
-96.5984,22.8341,-43.3095,85
432.891,150.349,-136.147,85
-321.261,-438.076,163.089,79
-140.23,174.681,214.652,105
86.1028,-340.605,148.122,98
-177.823,-245.566,38.4707,106
-444.174,-114.171,-331.817,90
103.169,-124.323,-584.233,94
-141.312,365.946,334.526,102
-74.3884,-525.936,-109.453,103
132.206,-512.815,68.5151,117
-241.191,-451.108,-289.688,107
235.276,-396.603,15.3114,99
-204.527,-213.976,145.114,94
149.83,122.57,288.314,89
-325.9,-226.408,347.031,106
-6.20932,124.218,316.22,127
452.678,-108.646,-211.047,81
-34.3087,-360.253,196.384,85
271.554,-520.253,-59.5028,127
457.897,-14.5277,-67.4681,105
-321.863,-169.331,164.075,94
-167.799,-57.4392,186.295,83
25.4765,-145.89,-134.938,97
400.677,151.562,262.602,86
-176.769,0.212447,-428.756,105
183.613,204.108,-26.9359,85
80.7831,8.38979,301.913,120
-187.119,324.921,-407.662,100
354.733,-335.239,-45.8729,71
-139.233,94.8513,-89.34,76
-138.734,130.228,-222.369,94
-29.7645,111.755,-260.16,101
-81.1146,225.007,349.724,106
245.285,73.9078,416.33,83
-144.65,133.519,-73.437,88
-38.6748,-353.238,-8.90016,91
-261.122,-217.615,-311.434,90
-49.7524,176.838,-67.2157,95
184.42,474.418,123.133,86
113.989,-388.433,-343.602,92
190.284,-93.5654,233.623,103
550.314,213.329,146.076,69
-260.984,26.5378,528.093,72
-371.272,-60.625,280.506,104
-177.314,-20.8781,-175.57,85
161.028,125.593,-83.0745,89
-173.087,-356.788,286.807,108
-158.434,-5.95071,348.434,84
124.065,92.8116,-450.749,92
-153.902,-273.272,128.339,91
95.8557,-151.187,-593.135,121
436.985,-25.5254,-376.71,86
79.8125,-84.5246,586.622,102
43.1556,350.747,-38.3487,96
364.74,0.509966,334.776,86
-68.1009,-94.6703,-408.252,98
152.066,-201.531,189.92,105
50.5454,379.381,80.5125,95
-191.237,-121.606,537.975,105
-344.858,-303.842,-312.418,141
228.412,144.032,-98.4117,114
-107.227,-350.789,-39.1845,80
-50.9056,-316.163,323.198,101
-283.464,-227.266,87.2143,81
321.498,-133.891,-135.832,96
42.5601,276.769,393.34,104
-29.4171,-77.8416,-166.541,83
86.8461,168.928,-109.6,107
-473.817,-307.744,175.716,86
-327.363,-506.444,46.4744,109
554.344,121.05,153.86,96
-385.081,-35.8802,87.5265,91
-282.655,-417.837,-320.15,135
-85.788,419.367,-9.42177,95
427.407,352.345,183.085,82
-466.871,211.919,-283.541,91
297.658,-340.775,335.69,135
255.001,-109.116,-299.708,91
256.383,-462.511,-263.966,101
-159.717,-490.518,120.861,105
-112.007,225.331,411.961,106
-313.09,-1.51511,152.09,85
69.0648,-441.951,-116.462,96
-93.1794,556.588,126.543,83
131.598,519.685,140.481,88
1.54852,-176.094,-391.204,106
132.266,30.8069,-445.43,100
-225.422,227.19,384.051,119
-180.123,-256.286,407.344,89
-326.687,-153.814,409.859,90
-66.9722,97.5316,248.191,116
554.061,224.466,-55.9087,59
-147.982,-294.978,-422.046,107
316.482,-42.6455,-279.351,81
-166.295,86.2481,-105.22,86
187.734,-57.1787,574.394,61
324.14,36.2868,416.067,79
295.071,-389.309,-54.7268,86
-545.823,141.258,216.025,96
-559.792,-62.4524,-101.757,122
-133.371,31.225,-37.1979,98
-542.026,14.2076,-7.92237,114
36.9864,-101.298,413.017,103
469.19,22.0078,336.302,114
-62.03,-115.993,143.913,89
-9.4246,-136.777,68.5874,103
-62.7377,-149.622,-379.384,92
134.066,404.744,-89.0653,95
15.7269,165.199,436.305,93
419.787,-47.935,368.233,75
-330.779,73.6628,-285.364,87
327.802,-291.375,-408.849,157
8.1448,-267.584,228.052,98
-514.24,119.945,202.811,102
-163.715,471.629,236.906,98
259.246,-354.768,-436.072,138
-132.902,-178.97,-172.808,113
-110.254,553.564,134.866,89
-100.91,174.949,-316.997,92
-263.685,-84.9467,-545.304,58
415.345,-232.264,-24.382,82
-177.445,-33.8684,-154.65,76
-1.96854,208.822,560.243,221
528.868,5.83336,-33.3946,91
245.765,-79.8455,180.684,107
347.12,-257.915,333.552,110
-83.5839,526.41,-89.8502,111
46.3304,-251.227,-89.1699,92
214.12,298.52,-342.805,110
442.818,351.6,-44.7271,76
462.636,-160.875,330.742,59
-424.95,-74.382,-406.534,77
-9.40435,-38.9648,-176.103,99
45.6756,-382.926,-205.792,95
23.6993,364.559,318.175,82
