x,y,z,count
239.759,43.6544,-180.828,53
212.606,227.781,-388.311,58
532.709,288.899,40.6158,37
60.436,-384.468,97.1667,45
124.85,-453.962,-57.3435,62
29.9286,103.816,-473.547,59
430.479,-264.064,283.898,52
321.297,-209.147,276.523,58
156.068,-507.842,-237.681,59
38.1474,95.1142,29.8803,56
249.78,-129.302,422.283,49
-400.414,215.108,305.948,49
44.2822,-75.6773,570.92,47
-274.817,-212.963,338.325,61
-483.538,-265.72,197.386,45
-160.768,516.532,-3.96892,64
-73.2312,407.561,-368.728,64
126.152,-362.397,-411.538,66
-114.221,562.798,-119.748,42
288.04,224.784,-304.612,63
-169.272,190.208,321.624,54
189.284,-337.855,-409.971,58
-280.657,-65.9805,69.6118,56
324.964,-182.311,-481.379,31
-247.351,400.734,111.22,56
135.52,285.043,28.5829,48
-110.535,-322.402,158.334,56
-157.452,108.49,156.233,43
-258.163,-8.86859,134.164,55
88.9876,-177.826,441.08,61
-18.7328,-317.618,389.45,73
-466.593,-186.337,-358.084,52
-103.127,-55.2763,207.585,57
-512.993,20.6406,328.48,210
354.581,437.708,162.876,48
-494.473,-124.7,-325.81,89
-402.249,-174.615,298.843,66
226.591,-335.379,-136.344,66
185.075,-21.7761,-386.75,55
-370.815,-101.036,451.012,55
-107.26,-152.209,339.808,61
20.1935,261.479,-535.29,128
77.2282,-115.724,-496.794,45
-162.418,-24.8626,-368.575,41
-239.85,273.923,-233.979,58
-412.735,-121.772,-118.512,61
438.646,7.62574,-13.4414,48
370.611,-36.9889,406.766,55
-290.71,-104.413,221.397,54
502.86,185.167,-302.821,68
17.2478,129.283,308.942,45
-82.9746,340.853,180.003,70
-163.522,117.732,501.557,51
-27.9485,-10.1842,-232.83,49
-283.279,11.2688,-333.186,49
-403.298,394.482,166.007,51
-207.4,-254.195,-431.907,57
148.294,154.803,244.609,67
30.8597,224.529,207.422,49
-65.6739,543.206,110.685,44
126.082,340.753,-116.687,56
-557.866,138.223,-206.277,60
-259.95,-118.881,472.533,39
434.262,24.0436,-4.20569,58
174.102,117.299,-10.8486,46
3.50954,168.801,-542.153,73
-81.0655,-366.488,-302.138,45
360.938,143.525,133.389,67
334.509,233.678,-436.659,37
402.404,-139.447,449.261,26
-504.324,-310.09,73.775,55
-153.05,424.446,-156.221,55
-238.34,-196.227,427.455,60
165.281,-228.17,2.57213,54
-260.151,-261.213,130.288,54
497.932,-80.6438,-300.761,101
138.239,-163.694,125.253,61
-418.197,6.8389,-194.074,74
121.004,-10.8516,-229.098,59
193.109,-100.067,42.4985,53
269.885,-232.206,-210.965,46
296.897,-56.7115,528.104,24
265.935,-251.516,144.863,47
-35.9812,413.301,-184.973,62
137.566,180.198,455.792,59
37.9293,278.034,-318.836,47
160.803,241.979,-22.6086,46
-55.1126,56.788,423.031,42
-87.9953,213.357,127.026,76
116.019,-356.238,-256.208,53
-138.861,-271.253,210.502,51
-230.289,510.175,-232.111,40
-377.936,72.0625,231.503,60
-310.95,250.154,303.172,43
265.773,-104.879,-99.9164,48
413.381,373.246,-27.4732,58
296.78,-332.242,-152.975,51
-89.0968,567.343,95.9821,56
423.216,340.421,-98.263,58
423.863,379.107,58.607,65
176.208,566.801,42.8026,78
275.327,-292.483,-106.835,54
-413.418,79.9877,-96.4755,58
-58.474,513.708,-315.483,43
-555.373,112.966,-188.65,65
218.923,118.084,543.306,38
363.827,-96.1063,-348.56,68
32.4623,189.23,-290.821,62
-591.707,106.935,24.9853,45
157.728,342.406,-107.567,75
-487.775,100.134,174.583,59
-36.8139,21.0209,450.48,59
120.797,-193.644,-216.843,62
422.743,-314.616,-113.078,44
536.629,-42.0758,15.011,74
-324.246,-367.433,-165.155,57
-95.9362,-346.562,435.478,87
-362.54,-127.791,-368.962,52
-4.80262,-171.394,-137.09,46
-266.177,-362.022,199.23,48
-165.795,-456.959,185.888,58
266.557,10.824,-400.778,68
-552.647,7.96926,-191.042,76
164.339,265.296,-56.2549,62
421.242,133.093,44.2936,50
179.466,54.9339,261.126,53
146.134,-197.849,567.197,19
182.19,-120.772,-5.42681,42
241.404,417.641,68.0873,64
-262.008,-16.0209,-296.842,60
-400.95,205.364,215.732,57
416.93,15.5247,-118.586,66
107.538,411.2,63.8997,58
-486.629,43.7671,-260.735,91
583.368,-56.9509,129.899,55
141.535,-54.1001,351.215,48
-493.081,197.657,-315.596,46
-286.305,269.132,-35.6168,60
-116.728,-602.238,-69.6103,31
-210.16,-118.662,316.591,60
-76.5724,-335.995,237.492,47
202.746,408.338,-118.197,65
-94.399,-227.62,-173.208,57
-398.542,-140.664,-453.993,36
160.551,-506.509,-225.663,38
-88.6943,254.465,-425.378,77
31.3722,123.494,473.531,68
383.78,-107.441,275.32,52
-455.082,-192.962,374.094,43
-262.311,235.075,320.617,54
188.274,-426.018,330.395,63
154.876,-473.737,54.322,66
190.874,16.5058,201.254,50
240.161,118.303,-172.599,58
29.0456,114.871,586.391,48
-343.701,457.779,72.1474,111
-11.1166,196.45,-302.021,47
253.049,48.8408,76.0755,59
-334.301,51.5089,214.302,54
284.221,-268.624,-450.368,50
526.783,206.099,203.674,58
-367.556,397.403,144.668,68
-241.156,-18.1777,-477.967,46
402.24,-410.867,145.573,57
-262.754,-6.16161,-295.494,41
-51.596,-4.22778,461.753,43
-120.515,-556.793,-55.788,56
-365.658,-255.902,129.367,45
358.105,80.0911,369.086,56
152.709,-440.319,-218.226,43
-331.425,299.294,372.504,45
554.236,-167.521,-10.4343,44
-262.923,-126.94,-112.275,46
-353.172,170.379,403.736,58
336.428,-225.39,-284.892,51
14.0847,-555.309,-148.592,35
106.69,543.854,217.784,39
16.3538,363.875,15.9053,58
-232.441,314.628,409.777,64
225.764,230.299,-519.174,42
467.437,132.289,265.174,77
327.264,-36.4533,-459.417,51
301.236,494.577,-106.522,84
220.349,-10.6651,-527.874,57
167.867,-290.931,124.982,69
-90.0575,346.024,12.0566,68
-157.429,-328.334,216.836,57
351.019,-21.4147,129.582,50
-178.911,261.914,-50.7377,79
-321.252,0.274651,252.443,59
350.902,-110.463,-170.148,53
-428.741,-372.606,210.551,36
-305.419,54.297,-30.8314,82
-208.735,-511.101,-1.56294,115
141.637,-62.4789,573.983,47
-212.765,-460.831,234.437,42
-290.277,29.781,284.675,48
103.654,145.717,-237.488,48
-488.637,-276.967,202.05,34
-40.3861,-135.408,-156.31,64
97.7972,308.903,-368.206,54
-352.832,102.281,-192.612,58
156.296,-104.581,-166.478,57
251.922,79.4778,-301.851,64
253.428,-17.4706,-129.947,61
476.716,187.952,120.439,51
-406.1,180.677,398.253,45
-164.765,-115.558,-395.982,73
-50.2991,176.181,-298.831,73
467.124,219.263,-335.505,38
58.8886,442.818,351.6,45
-500.118,-309.224,75.5362,37
-140.048,-158.553,481.978,56
-46.774,-255.701,423.443,70
-235.075,-403.343,27.5458,63
-142.704,-454.979,367.614,48
-176.097,-402.443,-119.422,71
19.4871,118.102,561.597,52
241.611,205.257,284.687,53
-13.467,76.9804,-329.64,53
-281.395,246.758,-243.151,44
-299.944,241.312,268,50
116.017,558.974,101.625,58
283.612,363.877,371.944,32
200.04,312.219,-138.06,40
-219.053,-40.8458,67.9734,50
-370.546,-149.907,342.612,60
-195.916,109.329,415.877,48
63.6978,544.268,-67.6807,40
-124.916,373.332,-303.741,36
117.368,13.5358,-92.3595,54
-470.925,-191.184,-317.701,73
-130.338,126.01,433.866,57
-193.087,-186.264,240.11,71
63.0914,-282.939,543.141,157
139.941,224.908,-493.752,61
345.856,332.824,301.353,41
309.858,-261.41,-254.104,43
455.273,-236.878,223.981,58
218.036,-194.161,-158.428,44
-115.248,-292.912,160.221,52
-148.509,-575.861,67.207,51
-354.992,187.764,253.011,56
117.668,146.668,160.838,55
